,GeneID,logfc_Native_CM_Ventricular,logfc_Native_CM_Atrial,logfc_Immature_CM,description
179,DKK1,-4.1977534,-3.4497383,2.3195798,dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]
182,LAMA2,4.1599317,3.7902744,-3.628409,laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]
183,AKAP12,-4.158931,-4.12733,2.0953517,A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]
187,LUM,-4.1162987,-6.3054013,5.5096083,lumican [Source:HGNC Symbol;Acc:HGNC:6724]
188,PTPN13,-4.0881643,-2.4958906,2.1130674,protein tyrosine phosphatase non-receptor type 13 [Source:HGNC Symbol;Acc:HGNC:9646]
189,HELLS,-4.0626764,-3.9309783,2.0755274,"helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]"
190,CTHRC1,-4.0592403,-3.8100348,2.3233716,collagen triple helix repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:18831]
191,FBN1,-4.0577044,-3.0541835,3.5591476,fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]
192,RARRES2,-4.0459785,-1.6784694,2.423782,retinoic acid receptor responder 2 [Source:HGNC Symbol;Acc:HGNC:9868]
193,DLK1,-4.0417223,-3.5051062,3.6117165,delta like non-canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2907]
194,FZD7,-4.0416374,-3.9491038,1.7429451,frizzled class receptor 7 [Source:HGNC Symbol;Acc:HGNC:4045]
195,IER5L,-4.006907,-2.8713424,1.5856485,immediate early response 5 like [Source:HGNC Symbol;Acc:HGNC:23679]
196,SYT10,-4.0023813,-2.6717951,4.1104245,synaptotagmin 10 [Source:HGNC Symbol;Acc:HGNC:19266]
198,CCL21,-3.9799058,-2.4654796,2.0467577,C-C motif chemokine ligand 21 [Source:HGNC Symbol;Acc:HGNC:10620]
199,SHISA3,-3.9724815,-2.829146,4.596431,shisa family member 3 [Source:HGNC Symbol;Acc:HGNC:25159]
201,COL9A3,-3.954751,-4.028307,3.1928344,collagen type IX alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2219]
202,WT1,-3.9427216,-3.6327157,3.6086485,WT1 transcription factor [Source:HGNC Symbol;Acc:HGNC:12796]
205,PLCXD3,3.9194417,3.4281464,-3.0982487,phosphatidylinositol specific phospholipase C X domain containing 3 [Source:HGNC Symbol;Acc:HGNC:31822]
206,PLCG2,-3.892942,-2.5914643,1.6504704,phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]
208,APOC1,-3.882186,-4.3570614,2.5867243,apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]
211,WFDC2,-3.8569458,-3.839846,2.130553,WAP four-disulfide core domain 2 [Source:HGNC Symbol;Acc:HGNC:15939]
